Bezeichnung,Bescheidwertnummer,Bescheidwert,forium-Wert,Unterschied
Erläuterung zur Festsetzung,,"Die Aufwendungen für Ihr häusliches Arbeitszimmer konnte ich nicht berücksichtigen: Das Arbeitszimmer stellt nicht den Mittelpunkt Ihrer gesamten beruflichen und betrieblichen Tätigkeit dar und Ihnen steht ein anderer Arbeitsplatz zur Verfügung.

Ihre Homeoffice-Pauschale habe ich mit 90 Tagen berücksichtigt. Sie beträgt 5 EUR pro Tag, höchstens jedoch 600 EUR.

Sie haben Aufwendungen für die Reinigung von Bekleidung angegeben. Diese konnte ich nicht berücksichtigen, da es sich bei der Kleidung nicht um typische Berufskleidung handelt.

Die von Ihnen angegebene einfache Entfernung zwischen Ihrer Wohnung und Ihrer ersten Tätigkeitsstätte habe ich überprüft. Die von mir ermittelte einfache Entfernung beträgt nicht mehr als 30 Kilometer. Diese habe ich bei Ihrer Steuerfestsetzung berücksichtigt.

Der Höchstbetrag für sonstige Vorsorgeaufwendungen wurde bereits durch die Berücksichtigung Ihrer Beiträge zur Krankenversicherung (Basisabsicherung) und zur gesetzlichen Pflegeversicherung ausgeschöpft; ein darüber hinausgehender Abzug der weiteren sonstigen Vorsorgeaufwendungen ist daher nicht möglich (Neuregelung durch das Bürgerentlastungsgesetz Krankenversicherung vom 16.7.2009, Bundesgesetzblatt Teil I S. 1959).

Die Festsetzung des Solidaritätszuschlags ist gem. § 165 Abs. 1 Satz 2 Nr. 3 AO vorläufig hinsichtlich

- der Verfassungsmäßigkeit des Solidaritätszuschlaggesetzes 1995

Die Vorläufigkeitserklärung erfasst sowohl die Frage, ob die angeführten gesetzlichen Vorschriften mit höherrangigem Recht vereinbar sind, als auch den Fall, dass das Bundesverfassungsgericht oder der Bundesfinanzhof die streitige verfassungsrechtliche Frage durch verfassungskonforme Auslegung der angeführten gesetzlichen Vorschriften entscheidet (BFH-Urteil vom 30. September 2010 - III R 39/08 -, BStBl 2011 II S. 11). Die Vorläufigkeitserklärung erfolgt lediglich aus verfahrenstechnischen Gründen. Sie ist nicht dahin zu verstehen, dass die im Vorläufigkeitsvermerk angeführten gesetzlichen Vorschriften als verfassungswidrig oder als gegen Unionsrecht verstoßend angesehen werden. Soweit die Vorläufigkeitserklärung die Frage der Verfassungsmäßigkeit einer Norm betrifft, ist sie außerdem nicht dahingehend zu verstehen, dass die Finanzverwaltung es für möglich hält, das Bundesverfassungsgericht oder der Bundesfinanzhof könne die im Vorläufigkeitsvermerk angeführte Rechtsnorm gegen ihren Wortlaut auslegen. Sollte aufgrund einer diesbezüglichen Entscheidung des Gerichtshofs der Europäischen Union, des Bundesverfassungsgerichts oder des Bundesfinanzhofs diese Steuerfestsetzung aufzuheben oder zu ändern sein, wird die Aufhebung oder Änderung von Amts wegen vorgenommen; ein Einspruch ist daher insoweit nicht erforderlich.

Dieser Festsetzung liegen Ihre (am 01.04.2022 um 13:54:04 Uhr) in authentifizierter Form übermittelten Daten zugrunde.

Datenschutzhinweis: Informationen über die Verarbeitung personenbezogener Daten in der Steuerverwaltung und über Ihre Rechte nach der Datenschutz-Grundverordnung sowie über Ihre Ansprechpartner in Datenschutzfragen entnehmen Sie bitte dem allgemeinen Informationsschreiben der Finanzverwaltung. Dieses Informationsschreiben finden Sie unter www.finanzamt.de (unter der Rubrik ""Datenschutz"") oder erhalten Sie bei Ihrem Finanzamt.

Die Ergebnisse der Verarbeitung wurden zur elektronischen Übermittlung bereitgestellt.

Falls Sie beabsichtigen, gegen diesen Einkommensteuerbescheid Einspruch einzulegen oder einen Antrag auf schlichte Änderung zu stellen, sollten Sie die Belege zu Ihrer Steuererklärung, die zu dieser Steuerfestsetzung geführt hat, bis zum Abschluss des Rechtsbehelfs- bzw. Änderungsverfahrens aufbewahren. Steht diese Steuerfestsetzung unter dem Vorbehalt der Nachprüfung (§ 164 AO), sollten die Belege bis zur Aufhebung bzw. bis zum Entfallen des Vorbehalts der Nachprüfung aufbewahrt werden. Belege, die für mehrere Jahre von Bedeutung sind (z.B. ärztliche Atteste), sollten entsprechend länger aufbewahrt werden. Aufbewahrungspflichten nach z.B. §§ 147, 147a AO oder anderen gesetzlichen Vorschriften (z.B. § 14b UStG, § 50 EStDV) bleiben unberührt.

*************************** Neben den aufgelisteten Werbungskosten kann keine weitere Pauschale für Arbeitsmittel in Höhe von 110 EUR anerkannt werden.

Künftig können Bewerbungskosten nur mit genauer Auflistung der Firmen, bei denen Sie sich beworben haben mit Antworten der entsprechenden Firmen, dass die Bewerbung eingegangen ist, mit evtl.

Einladung zu einem Bewerbungsgespräch angesetzt werden.",,
Einkünfte aus nichtselbständiger Arbeit -A-,650000161,"58.243,00","54.541,00","3.702,00"
Bruttoarbeitslohn -A-,650000163,"60.527,00","60.527,00","0,00"
Werbungskosten aus nichtselbständiger Arbeit -A-,650000172,"2.284,00","2.284,00","0,00"
Abzugsbetrag für Wege Wohnung Arbeitsstätte (insgesamt) -A-,650000180,"1.264,00","1.543,00","-279,00"
übrige Werbungskosten aus nichtselbständiger Arbeit -A-,650000188,"260,00","260,00","0,00"
berücksichtigte Entfernungspauschale -A-,650000194,"1.264,00","1.543,00","-279,00"
Beiträge zu Berufsverbänden -A-,650000198,"300,00","299,00","1,00"
Aufwendungen für Arbeitsmittel -A-,650000200,"10,00","283,00","-273,00"
Summe der Einkünfte -A-,650000310,"58.243,00","54.541,00","3.702,00"
Gesamtbetrag der Einkünfte -A-,650000331,"58.243,00","54.541,00","3.702,00"
Sonderausgaben-Pauschbetrag,650000400,"36,00","36,00","0,00"
"Ergebnis Günstigerprüfung: 1=Rechtsstand 2004, 2= AltEinkG bis 2009, ab 2010 § 10 Abs. 1 Nr. 3a EStG, 3= VZ-Lösung BürgerEntlG (KV), § 37 Abs. 6 EStG, 4 = § 10 Abs. 1 Nr. 3 EStG, 5=Erstattungsüberhang KV/PV bzw. detaillierte Darstellung nach § 10 Abs. 1 Nr. 3a EStG (ab 2012), 6=§ 26 Abs. 2 S. 2 EStG; keine eigenen Vorsorgeaufwendungen, jedoch Angaben zu abziehbaren Vorsorgeaufwendungen (nach Durchführung der Günstigerprüfung) des/der Ehegatten/Lebenspartner(s/in) bei Einzelveranlagung von Ehegatten/Lebenspartnern; ab 2013",650000439,"4,00","4,00","0,00"
abziehbarer Teil der beschränkt abziehbaren Sonderausgaben,650000458,"10.189,00","10.189,00","0,00"
"Merker Höchstbetrags-Berechnung Sonderausgaben: 1=Rechtsstand 2004, 2=AltersEinkG, 3=Bürgerentl.gesetz KV, 4=§ 10 Abs. 1 Nr. 3 EStG, 5=Erstattungsüberhang KV/PV bzw. detaillierte Darstellung nach § 10 Abs. 1 Nr. 3a EStG (2012), 6=§ 26a Abs. 2 S. 2 EStG; keine eigenen Vorsorgeaufwendugen, jedoch abziehbare Vorsorgeaufwendungen (nach Durchführung der Günstigerprüfung) des/der Ehegatten/Lebenspartner(s/in) bei Einzelveranlagung von Ehegatten/Lebenspartnern; ab 2013",650000459,"4,00","4,00","0,00"
Einkommen,650000500,"48.018,00","44.316,00","3.702,00"
zu versteuerndes Einkommen,650000522,"48.018,00","44.316,00","3.702,00"
zu versteuern nach der Tabelle,650000530,"48.018,00","44.316,00","3.702,00"
Steuer nach Tabelle,650000551,"11.235,00","9.862,00","1.373,00"
zu versteuern nach Grundtarif (= 1) oder Splittingtarif (= 2),650000553,"1,00","1,00","0,00"
tarifliche Einkommensteuer,650000584,"11.235,00","9.862,00","1.373,00"
Steuer nach Abzug der Ermäßigungen,650000611,"10.937,00","9.564,00","1.373,00"
