Bescheidwertnummer,Format,Länge,Bescheidwert,forium-Wert,Abweichung
120000100,C,366,Ihre geleisteten und erstatteten Beiträge zu Basiskrankenversicherungen und,,
120000101,C,366,"gesetzlichen Pflegeversicherungen habe ich mit den Beträgen berücksichtigt,",,
120000102,C,366,"die das Versicherungsunternehmen, der Träger der gesetzlichen Kranken- und",,
120000103,C,366,Pflegeversicherung oder die Künstlersozialkasse der Finanzverwaltung,,
120000104,C,366,elektronisch übermittelt hat.,,
120000105,C,257,"Den Arbeitslohn, die einbehaltene Lohn- und Kirchensteuer, den",,
120000106,C,257,"einbehaltenen Solidaritätszuschlag, die Sozialversicherungsbeiträge",,
120000107,C,257,und/oder das Kurzarbeitergeld sowie die Verdienstausfallentschädigung nach,,
120000108,C,257,dem Infektionsschutzgesetz habe ich entsprechend den von Ihrem Arbeitgeber,,
120000109,C,257,elektronisch übermittelten Daten bzw. den Eintragungen auf der Besonderen,,
120000110,C,257,Lohnsteuerbescheinigung angesetzt.,,
120000111,C,820,Sie haben Werbungskosten zu Ihren Einnahmen aus nichtselbständiger Arbeit,,
120000112,C,820,(Arbeitslohn) angegeben. Da der Pauschbetrag für Werbungskosten höher ist,,
120000113,C,820,"als die von Ihnen angegebenen Werbungskosten, habe ich diesen von Ihren",,
120000114,C,820,Einnahmen abgezogen.,,
120000115,C,220,Bei der Berechnung Ihres zu versteuernden Einkommens konnte ich die,,
120000116,C,220,Freibeträge für Kinder nicht berücksichtigen. Die Vergleichsberechnung hat,,
120000117,C,220,"ergeben, dass die notwendige steuerliche Freistellung des Existenzminimums",,
120000118,C,220,Ihres Kindes oder Ihrer Kinder bereits durch den Anspruch auf Kindergeld,,
120000119,C,220,oder vergleichbare Leistungen erreicht wurde. Bei der Ermittlung der,,
120000120,C,220,Bemessungsgrundlage für den Solidaritätszuschlag und gegebenenfalls die,,
120000121,C,220,Kirchensteuer sowie bei der Überprüfung der Einkommensgrenze für die,,
120000122,C,220,Arbeitnehmer-Sparzulage habe ich die Freibeträge für Kinder jedoch,,
120000123,C,220,einbezogen. (Rechtsgrundlagen: Vergleichsberechnung - § 31,,
120000124,C,220,"Einkommensteuergesetz, Ermittlung der Bemessungsgrundlage für den",,
120000125,C,220,Solidaritätszuschlag und die Kirchensteuer - § 51a Absatz 2,,
120000126,C,220,Einkommensteuergesetz),,
120000127,C,680,,,
120000128,C,680,Die Festsetzung der Einkommensteuer ist gem. § 165 Abs. 1 Satz 2 Nr.,,
120000129,C,680,3 AO vorläufig hinsichtlich,,
120000130,C,679,- der Höhe der kindbezogenen Freibeträge nach § 32 Abs. 6 Satz 1 und 2 EStG,,
120000131,C,115,,,
120000132,C,115,Die Festsetzung des Solidaritätszuschlags ist gem. § 165 Abs. 1 Satz 2,,
120000133,C,115,Nr. 3 AO vorläufig hinsichtlich,,
120000134,C,116,- der Verfassungsmäßigkeit des Solidaritätszuschlaggesetzes 1995,,
120000135,C,818,- der Höhe der kindbezogenen Freibeträge nach § 32 Abs. 6 Sätze 1 und 2,,
120000136,C,818,EStG,,
120000137,C,682,,,
120000138,C,682,"Die Vorläufigkeitserklärung erfasst sowohl die Frage, ob die angeführten",,
120000139,C,682,"gesetzlichen Vorschriften mit höherrangigem Recht vereinbar sind, als auch",,
120000140,C,682,"den Fall, dass das Bundesverfassungsgericht oder der Bundesfinanzhof die",,
120000141,C,682,streitige verfassungsrechtliche Frage durch verfassungskonforme Auslegung,,
120000142,C,682,der angeführten gesetzlichen Vorschriften entscheidet (BFH-Urteil vom,,
120000143,C,682,"30. September 2010 - III R 39/08 -, BStBl 2011 II S. 11). Die",,
120000144,C,682,Vorläufigkeitserklärung erfolgt lediglich aus verfahrenstechnischen,,
120000145,C,682,"Gründen. Sie ist nicht dahin zu verstehen, dass die im",,
120000146,C,682,Vorläufigkeitsvermerk angeführten gesetzlichen Vorschriften als,,
120000147,C,682,verfassungswidrig oder als gegen Unionsrecht verstoßend angesehen werden.,,
120000148,C,682,Soweit die Vorläufigkeitserklärung die Frage der Verfassungsmäßigkeit einer,,
120000149,C,682,"Norm betrifft, ist sie außerdem nicht dahingehend zu verstehen, dass die",,
120000150,C,682,"Finanzverwaltung es für möglich hält, das Bundesverfassungsgericht oder der",,
120000151,C,682,Bundesfinanzhof könne die im Vorläufigkeitsvermerk angeführte Rechtsnorm,,
120000152,C,682,gegen ihren Wortlaut auslegen.,,
120000153,C,682,Sollte aufgrund einer diesbezüglichen Entscheidung des Gerichtshofs der,,
120000154,C,682,"Europäischen Union, des Bundesverfassungsgerichts oder des Bundesfinanzhofs",,
120000155,C,682,"diese Steuerfestsetzung aufzuheben oder zu ändern sein, wird die Aufhebung",,
120000156,C,682,oder Änderung von Amts wegen vorgenommen; ein Einspruch ist daher insoweit,,
120000157,C,682,nicht erforderlich.,,
120000158,C,322,"Sollten Sie vermögenswirksame Leistungen angelegt haben, können Sie die",,
120000159,C,322,Festsetzung der Arbeitnehmer-Sparzulage bis zum 31.12.2024 beantragen.,,
120000160,C,322,"Voraussetzung dafür ist, dass Sie bis zum 31.12.2022 gegenüber dem",,
120000161,C,322,Anbieter in die elektronische Datenübermittlung eingewilligt und ihm Ihre,,
120000162,C,322,Identifikationsnummer mitgeteilt haben. Ob Sie die Arbeitnehmer-Sparzulage,,
120000163,C,322,"erhalten, kann ich erst prüfen, wenn Ihr Anbieter die Daten elektronisch",,
120000164,C,322,übermittelt hat.,,
120000165,C,635,Falls Sie gegen diesen Steuerbescheid Einspruch einlegen oder eine Änderung,,
120000166,C,635,"beantragen möchten, bewahren Sie Ihre Belege zu diesem Steuerbescheid bitte",,
120000167,C,635,bis zum Abschluss des Rechtsbehelfs- oder Änderungsverfahrens auf. Steht,,
120000168,C,635,"diese Steuerfestsetzung unter dem Vorbehalt der Nachprüfung, sollten Sie",,
120000169,C,635,die Belege bis zur Aufhebung bzw. bis zum Entfallen des Vorbehaltes der,,
120000170,C,635,"Nachprüfung aufbewahren. Belege, die für mehrere Jahre Bedeutung haben (z.",,
120000171,C,635,"B. ärztliche Atteste), sollten Sie entsprechend länger aufbewahren. Davon",,
120000172,C,635,unabhängig beachten Sie bitte die gesetzlichen Aufbewahrungspflichten.,,
120000173,C,635,"(Rechtsgrundlagen - gesetzliche Aufbewahrungspflichten, z. B.",,
120000174,C,635,"§§ 147, 147a Abgabenordnung, § 14b Umsatzsteuergesetz,",,
120000175,C,635,§ 50 Einkommensteuer-Durchführungsverordnung),,
120000176,C,51,Datenschutzhinweis:,,
120000177,C,51,Informationen über die Verarbeitung personenbezogener Daten in der,,
120000178,C,51,Steuerverwaltung und über Ihre Rechte nach der Datenschutz-Grundverordnung,,
120000179,C,51,sowie über Ihre Ansprechpartner in Datenschutzfragen entnehmen Sie bitte,,
120000180,C,51,dem allgemeinen Informationsschreiben der Finanzverwaltung. Dieses,,
120000181,C,51,Informationsschreiben finden Sie unter www.finanzamt.de (unter der Rubrik,,
120000182,C,51,"""Datenschutz"") oder erhalten Sie bei Ihrem Finanzamt.",,
120000183,C,77,Die Ergebnisse der Verarbeitung wurden zur elektronischen Übermittlung,,
120000184,C,77,bereitgestellt.,,
120000185,C,875,Bitte bewahren Sie diesen Steuerbescheid auf. Er dient auch als,,
120000186,C,875,Einkommensnachweis für andere Behörden (z. B. für,,
120000187,C,875,"Erziehungsgeld/Elterngeld, Leistungen nach dem BAföG).",,
490000201,C,0,"Kinderbetreuungskosten konnte ich nicht berücksichtigen, da die KITA ab 2020 in",,
490000202,C,0,MV beitragsfrei war.,,
650000161,N,240,20240,20240,"0,00%"
650000163,N,240,21240,21240,"0,00%"
650000172,N,0,1000,1000,"0,00%"
650000180,N,900,209,209,"0,00%"
650000188,N,0,46,46,"0,00%"
650000194,N,900,689,689,"0,00%"
650000200,N,700,247,247,"0,00%"
650000208,N,800,168,168,"0,00%"
650000310,N,240,20240,20240,"0,00%"
650000319,N,80,4008,4008,"0,00%"
650000331,N,232,16232,16232,"0,00%"
650000334,N,80,4008,4008,"0,00%"
650000400,N,0,36,36,"0,00%"
650000439,N,0,2,2,"0,00%"
650000458,N,810,3481,3481,"0,00%"
650000459,N,0,2,2,"0,00%"
650000500,N,715,12715,12715,"0,00%"
650000522,N,715,12715,12715,"0,00%"
650000530,N,715,12715,12715,"0,00%"
650000551,N,900,569,569,"0,00%"
650000553,N,0,1,1,"0,00%"
650000584,N,900,569,569,"0,00%"
650000611,N,900,569,569,"0,00%"
650000613,N,900,569,569,"0,00%"
650000638,N,510,3951,3951,"0,00%"
650000642,N,0,90,90,"0,00%"
650000643,N,560,3556,3556,"0,00%"
650000644,N,750,1975,1972,"0,15%"
650000645,N,810,1581,1581,"0,00%"
650000646,N,600,366,366,"0,00%"
650000647,N,0,1900,1900,"0,00%"
650000648,N,810,3481,3481,"0,00%"
650000650,N,0,600,450,"33,33%"
650000654,N,100,-31,-31,"0,00%"
650000666,N,0,1,1,"0,00%"
650000841,N,0,2,2,"0,00%"
650000847,N,0,2,2,"0,00%"
650000861,N,0,2,2,"0,00%"
650000879,N,0,0,0,0
650000880,N,0,0,0,0
650000882,N,30,4903,4903,"0,00%"
650000883,N,30,4903,4903,"0,00%"
650000946,N,0,1,1,"0,00%"
650000970,N,490,3249,3249,"0,00%"
660000100,N,0,0,0,0
660000961,P,0,0,0,0
660000971,N,0,0,0,0
660000975,P,0,0,0,0
660000976,P,0,0,0,0
660000978,P,0,0,0,0
660000979,P,0,550,550,"0,00%"
660000996,N,0,0,0,0
660000998,N,120,7812,7812,"0,00%"
660000999,N,0,0,0,0
670000124,N,500,255,255,"0,00%"
670000125,P,850,68850,68850,"0,00%"
670000126,N,500,255,255,"0,00%"
670000127,N,0,9,9,"0,00%"
670000143,N,900,689,689,"0,00%"
670000159,N,900,689,689,"0,00%"
670000163,N,0,9,9,"0,00%"
670000181,N,0,480,480,"0,00%"
680000850,P,100,-3100,-3100,"0,00%"
680000852,N,92,15092023,15092023,"0,00%"
680000853,N,0,2,2,"0,00%"
680000857,N,92,7092023,7092023,"0,00%"
680000858,N,0,0,0,0
680000861,P,0,0,0,0
680000862,P,0,0,0,0
680000863,P,100,-3100,-3100,"0,00%"
680000864,P,0,0,0,0
680000865,P,0,0,0,0
680000866,P,0,0,0,0
680000867,P,0,0,0,0
680000868,P,0,0,0,0
680000887,N,920,7092023,7092023,"0,00%"
680000888,C,931,505001841135905,505001841135905,"0,00%"
690000416,N,0,300,300,"0,00%"
690000419,N,990,1699,1699,"0,00%"
690000423,N,230,1723,1723,"0,00%"
690000432,N,400,324,324,"0,00%"
BuFa,N,4,4082,4082,"0,00%"
D00034082S,2,0,0100000000000000BDS2,,
